paradigm,subject,C3_left,C3_right,C4_left,C4_right,lat_index
executed,1,-26.011346766602504,-26.24211844268451,-26.25313651961345,-25.94994435389951,0.5339638417959449
executed,2,-26.71973319080796,-26.875051361804847,-27.21984937901453,-27.065367819185735,0.3097997308256808
executed,3,-25.976884153678963,-25.991303099963904,-25.920920377453058,-25.944069880019114,-0.008730556281115298
executed,4,-28.31246232311463,-28.315512812736305,-28.139180038035956,-28.127643157674694,0.014587369982937304
executed,5,-27.818199616833176,-27.893718321027027,-27.516668165344615,-27.652867802627757,-0.06068093308929079
executed,6,-27.402904383528206,-27.37091573990009,-27.64922967230036,-27.352102639687633,0.2651383889846137
executed,7,-25.778111048925783,-26.11218107828238,-26.30647250760187,-25.75275778928593,0.8877847476725371
executed,8,-27.40088935378783,-27.388087379213406,-27.196689048268787,-27.36147073867002,-0.17758366497565703
executed,9,-26.00634627088731,-25.980400611013025,-25.96618242170427,-25.955828146817943,-0.015591384987956758
executed,10,-25.655838769628645,-25.957761231695095,-25.739427933986303,-24.93033936844601,1.111011027606743
executed,11,-28.326431847705205,-28.372416169124282,-28.258775758406856,-28.075830147087064,0.2289299327388683
executed,12,-27.786632149154787,-27.71718778401401,-27.600574282936957,-27.5940046096914,-0.06287469189522099
executed,13,-25.47932972877282,-25.84314549006087,-25.94862092641556,-25.976828269014486,0.33560841868912306
executed,14,-26.424187115820374,-26.249508589462156,-26.106699170144257,-25.991972968726476,-0.05995232494043634
executed,15,-25.359464093346762,-25.29627657206445,-25.61197213633765,-25.44367625720271,0.10510835785262529
executed,16,-27.329189830429954,-27.436312521399135,-27.472993350863984,-27.454022923841627,0.12609311799153744
executed,17,-25.576289560168053,-25.688949740061652,-25.99383739965572,-25.884454678817598,0.22204290073172217
executed,18,-29.47655904734094,-29.304391008427984,-29.290320950031596,-29.285409209463193,-0.1672562983445509
executed,19,-26.287672732145555,-26.345196897532922,-26.54498351243771,-26.529461407005776,0.07304627081930093
executed,20,-28.915311556771425,-28.971522339382393,-29.016153613058254,-29.041800738548563,0.030563657120659116
executed,21,-27.506742710364346,-27.72300438198548,-27.810829315452352,-27.65945517387192,0.36763581320156646
executed,22,-25.898573808378497,-25.918560952179952,-25.6307445601567,-25.666164232034387,-0.015432528076232188
executed,23,-25.828358621105057,-25.89794820088282,-25.88532830138486,-25.864637417176162,0.09028046398645984
executed,24,-27.220585383534043,-27.099097579446937,-26.876920815009324,-26.94931407783562,-0.19388106691340212
executed,25,-28.481160194748885,-28.576687739854663,-28.116777893267443,-28.11543317718364,0.09687226118958137
executed,26,-28.915342103153012,-28.72879813089137,-28.957544944905912,-29.074543172142395,-0.3035421994981249
executed,27,-26.021487536514975,-25.881259610130197,-25.70866781946489,-25.62724706900034,-0.058807175920229326
executed,28,-25.06610119270074,-25.22264342370361,-25.073716888600558,-25.093165599099294,0.13709352050413415
executed,29,-27.61281231646606,-27.789723207970518,-28.019119328921747,-27.728875993417255,0.46715422700895104
executed,30,-28.626489164302164,-28.75935023686424,-28.833312214913942,-28.784211978220156,0.18196130925586118
